id,issueDate,issueDateISO,vehicleMachinery,itemName,itemDesc,qty,category,issuedTo,issuedBy,mrnNum,purchaseSource,notes,createdAt,updatedAt
135,2026-06-08,2026-06-08,"LB-17, ZB-1546",Loader Bucket Jack Seal,,1.0,Bearings & Seals,Dhanushka,Bandula,166992,,,2026-06-13T04:28:55.220Z,2026-06-13T04:28:55.220Z
136,2026-06-08,2026-06-08,"LB-17, ZB-1546",Backhose Bucket Jack Seal,,1.0,Bearings & Seals,Dhanushka,Bandula,166992,,,2026-06-13T04:29:45.416Z,2026-06-13T04:29:45.416Z
137,2026-06-08,2026-06-08,"LB-17, ZB-1546",Arm Jack Seal,,1.0,Bearings & Seals,Dhanushka,Bandula,166992,,,2026-06-13T04:30:12.822Z,2026-06-13T04:30:12.822Z
138,2026-06-13,2026-06-13,"LB-17, ZB-1546",Pinion Seal (Front),,1.0,Bearings & Seals,Dhanushka,Bandula,166992,,,2026-06-13T04:30:45.997Z,2026-06-13T04:30:45.997Z
139,2026-06-08,2026-06-08,"LO-4816, DT-45",Water Pump,,1.0,General Items,Dhanushka,Bandula,166992,,,2026-06-13T04:31:15.860Z,2026-06-13T04:31:15.860Z
140,2026-06-12,2026-06-12,48-8072,Center Mount With Bracket,,1.0,General Items,Anura,Bandula,166993,,,2026-06-13T04:34:20.434Z,2026-06-13T04:34:20.434Z
141,2026-06-12,2026-06-12,48-8072,Bolt,,20.0,General Items,Anura,Bandula,166993,,,2026-06-13T04:34:51.719Z,2026-06-13T04:34:51.719Z
142,2026-06-08,2026-06-08,PV-6889,Hand Break Cable,,1.0,Electrical,Theminda,Bandula,166989,,,2026-06-13T04:35:47.092Z,2026-06-13T04:35:47.092Z
143,2026-06-08,2026-06-08,325-5120,Door Lock L/R,,2.0,General Items,Auto Bacs,Bandula,166975,,,2026-06-13T04:46:30.860Z,2026-06-13T04:46:30.860Z
144,2026-06-09,2026-06-09,HEX-23,Door Handle,,1.0,General Items,NAwathilaka,Bandula,167200,,,2026-06-13T04:47:30.660Z,2026-06-13T04:47:30.660Z
145,2026-06-06,2026-06-06,HEX - 21,Engine Mount,,4.0,General Items,Anura,Bandula,167158,,,2026-06-13T04:48:45.821Z,2026-06-13T04:48:45.821Z
146,2026-06-15,2026-06-15,DAH-2228,Coolant,DAH-2228,8.0,Oil & Lubricants,DAH-2228,Bandula,167423,,,2026-06-15T13:30:06.065Z,2026-06-15T13:30:06.065Z
147,2026-06-15,2026-06-15,LC-0434,Battery Water,,2.0,Battery,LC-0434,Bandula,167422,,,2026-06-15T13:31:25.887Z,2026-06-15T13:31:25.887Z
